"jaar","maand","nuts3","mrsa","vre","esbl","cre","cpe","facre","fara","cpa","mrpa","ca"
2025,2,"Zuidwest-Friesland",20,0,19,0,0,0,0,0,0,0
2025,3,"Delfzijl en omgeving",4,0,8,0,0,0,0,0,0,0
2025,3,"Flevoland",2,0,6,0,0,0,0,0,0,0
2025,3,"Noord-Drenthe",21,0,27,0,0,0,0,0,0,0
2025,3,"Noord-Friesland",11,0,49,0,0,2,0,0,0,0
2025,3,"Noord-Overijssel",0,0,1,0,0,0,0,0,0,0
2025,3,"Oost-Groningen",13,0,37,1,1,0,0,0,0,0
2025,3,"Overig Groningen",4,0,36,1,1,0,0,0,0,0
2025,3,"Zuidoost-Drenthe",9,0,47,17,17,0,0,0,29,0
2025,3,"Zuidoost-Friesland",1,0,24,0,0,0,0,0,0,0
2025,3,"Zuidwest-Drenthe",11,1,25,0,0,0,0,0,0,0
2025,3,"Zuidwest-Friesland",3,0,30,0,0,0,0,0,0,0
2025,4,"Delfzijl en omgeving",4,0,10,0,0,0,0,0,0,0
2025,4,"Flevoland",0,0,13,0,0,0,0,0,0,0
2025,4,"Noord-Drenthe",16,0,26,0,0,0,0,0,0,0
2025,4,"Noord-Friesland",7,0,39,1,1,0,0,0,0,0
2025,4,"Noord-Overijssel",1,0,5,0,0,0,0,0,0,0
2025,4,"Oost-Groningen",13,0,29,0,0,0,1,0,0,0
2025,4,"Overig Groningen",28,0,38,0,0,0,0,0,0,0
2025,4,"Zuidoost-Drenthe",12,3,23,2,2,0,0,0,11,0
2025,4,"Zuidoost-Friesland",5,0,37,0,0,0,0,0,0,0
2025,4,"Zuidwest-Drenthe",4,0,34,0,0,0,0,0,0,0
2025,4,"Zuidwest-Friesland",12,0,14,0,0,0,0,0,0,0
2025,5,"Delfzijl en omgeving",7,0,13,0,0,0,0,0,0,0
2025,5,"Flevoland",2,0,14,1,1,0,0,0,0,0
2025,5,"Noord-Drenthe",11,0,23,1,1,0,0,0,0,0
2025,5,"Noord-Friesland",12,0,51,1,1,0,0,0,1,0
2025,5,"Noord-Overijssel",0,0,3,0,0,0,0,0,0,0
2025,5,"Oost-Groningen",11,7,26,1,1,0,0,0,0,0
2025,5,"Overig Groningen",7,0,32,0,0,1,0,0,0,0
2025,5,"Zuidoost-Drenthe",11,2,38,0,0,3,0,0,0,0
2025,5,"Zuidoost-Friesland",4,0,33,0,0,1,0,0,0,0
2025,5,"Zuidwest-Drenthe",5,0,12,0,0,0,0,0,0,0
2025,5,"Zuidwest-Friesland",7,0,19,0,0,0,0,0,0,0
2025,6,"Delfzijl en omgeving",0,0,8,0,0,0,0,0,0,0
2025,6,"Flevoland",1,0,8,0,0,1,0,0,0,0
2025,6,"Noord-Drenthe",6,0,23,0,0,2,0,0,1,0
2025,6,"Noord-Friesland",24,0,51,1,1,3,1,0,0,0
2025,6,"Noord-Overijssel",1,0,2,0,0,0,0,0,0,0
2025,6,"Oost-Groningen",45,4,29,0,0,2,0,0,0,0
2025,6,"Overig Groningen",9,0,49,0,0,1,0,0,0,0
2025,6,"Zuidoost-Drenthe",9,0,35,0,0,2,0,0,0,0
2025,6,"Zuidoost-Friesland",2,0,42,0,0,0,0,0,0,0
2025,6,"Zuidwest-Drenthe",12,1,9,0,0,0,0,0,0,0
2025,6,"Zuidwest-Friesland",5,0,30,0,0,0,0,0,0,0
2025,7,"Delfzijl en omgeving",7,0,11,0,0,1,0,0,0,0
2025,7,"Flevoland",5,0,7,0,0,0,0,0,0,0
2025,7,"Noord-Drenthe",10,0,26,0,0,0,0,0,0,0
2025,7,"Noord-Friesland",26,1,39,0,0,2,0,0,0,0
2025,7,"Noord-Overijssel",1,0,7,0,0,0,0,0,0,0
2025,7,"Oost-Groningen",19,1,39,7,7,0,0,0,3,0
2025,7,"Overig Groningen",23,0,53,7,7,2,0,0,0,0
2025,7,"Zuidoost-Drenthe",19,0,31,0,0,1,0,0,0,0
2025,7,"Zuidoost-Friesland",4,0,33,0,0,0,0,0,0,0
2025,7,"Zuidwest-Drenthe",4,0,11,0,0,0,0,0,0,0
2025,7,"Zuidwest-Friesland",1,1,23,1,1,1,1,1,0,0
2025,8,"Delfzijl en omgeving",3,0,4,0,0,0,0,0,0,0
2025,8,"Flevoland",3,0,16,0,0,0,0,0,0,0
2025,8,"Noord-Drenthe",16,0,30,0,0,1,0,0,0,0
2025,8,"Noord-Friesland",23,0,49,0,0,3,0,0,0,0
2025,8,"Noord-Overijssel",3,0,3,0,0,0,0,0,0,0
2025,8,"Oost-Groningen",19,0,35,0,0,1,0,0,2,0
2025,8,"Overig Groningen",9,0,43,4,4,1,0,0,0,0
2025,8,"Zuidoost-Drenthe",21,1,26,0,0,4,0,0,0,0
2025,8,"Zuidoost-Friesland",6,0,34,0,0,0,0,0,0,0
2025,8,"Zuidwest-Drenthe",7,0,8,0,0,2,0,0,0,0
2025,8,"Zuidwest-Friesland",0,0,31,0,0,0,0,0,0,0
2025,9,"Delfzijl en omgeving",6,0,21,0,0,0,2,0,0,0
